"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The schema must promise what the serialiser delivers.

        Pydantic serialises Decimal as a string by default, and would also
        declare it as one. A custom serialiser fixes the wire format; this
        checks the document was not left describing the old behaviour.
        ","0","test_money_is_declared_as_a_number_in_the_schema","tests.contract.tests","Sat Aug 29 06:45:35 UTC 2026","passed","Sat Aug 29 06:45:35 UTC 2026","TestSpecification","test_openapi_contract","",""
"","5","test_a_page_past_the_end_is_empty_not_an_error","tests.api.tests","Sat Aug 29 06:45:25 UTC 2026","passed","Sat Aug 29 06:45:25 UTC 2026","TestPagination","test_catalog","",""
"","16","test_hostile_search_terms_are_handled_as_text[sql-time-based]","tests.security.tests","Sat Aug 29 06:45:41 UTC 2026","passed","Sat Aug 29 06:45:41 UTC 2026","TestSearchInput","test_injection","",""
"Stored XSS: the API must return data, not markup.

        The value is preserved exactly as typed (a customer might legitimately
        have angle brackets in a name), but the response is JSON with a JSON
        content type, so a browser parses it as data. Escaping at the API layer
        would corrupt the name; the defence is the content type plus the
        client's own rendering.
        ","12","test_a_script_payload_in_a_name_is_stored_and_returned_inert","tests.security.tests","Sat Aug 29 06:45:42 UTC 2026","passed","Sat Aug 29 06:45:42 UTC 2026","TestAuthInput","test_injection","",""
"Otherwise Ada@x.com and ada@x.com become two accounts.","0","test_normalisation_is_case_and_whitespace_insensitive[Ada@Example.COM-ada@example.com]","backend.tests.unit","Sat Aug 29 06:44:29 UTC 2026","passed","Sat Aug 29 06:44:29 UTC 2026","TestEmail","test_security_helpers","",""
"No user enumeration.

        If ""no such account"" and ""wrong password"" were distinguishable, this
        endpoint would become a free tool for discovering which of a leaked
        address list are registered here.
        ","9","test_an_unknown_account_returns_the_identical_error","tests.api.tests","Sat Aug 29 06:45:21 UTC 2026","passed","Sat Aug 29 06:45:21 UTC 2026","TestLogin","test_auth","",""
"","2","test_malformed_authorization_headers_are_rejected[bearer-only-Bearer]","tests.api.tests","Sat Aug 29 06:45:21 UTC 2026","passed","Sat Aug 29 06:45:21 UTC 2026","TestTokens","test_auth","",""
"Business rule 3.

        The whole admin surface, not a sample: a route added without the
        dependency would be caught here rather than in production.
        ","4","test_customers_are_refused_on_every_admin_endpoint[GET-admin-orders-1]","tests.security.tests","Sat Aug 29 06:45:39 UTC 2026","passed","Sat Aug 29 06:45:39 UTC 2026","TestRoleEnforcement","test_authorization","",""
"","2","test_malformed_requests_are_rejected[null-email-]","tests.api.tests","Sat Aug 29 06:45:21 UTC 2026","passed","Sat Aug 29 06:45:21 UTC 2026","TestLogin","test_auth","",""
"`' OR '1'='1` must not be a valid login.

        In a string-concatenated query it would be. Here it is either rejected
        as a malformed address or looked up as a literal value that matches
        nothing.
        ","2","test_login_with_a_hostile_email_never_authenticates[sql-comment]","tests.security.tests","Sat Aug 29 06:45:42 UTC 2026","passed","Sat Aug 29 06:45:42 UTC 2026","TestAuthInput","test_injection","",""
"Removing one product must not disturb the others or their pricing.","71","test_removing_a_line_leaves_the_rest_of_the_cart_intact","tests.api.tests","Sat Aug 29 06:45:23 UTC 2026","passed","Sat Aug 29 06:45:23 UTC 2026","","test_cart","",""
"","4","test_a_token_signed_with_another_key_is_not_authentication","tests.security.tests","Sat Aug 29 06:45:39 UTC 2026","passed","Sat Aug 29 06:45:39 UTC 2026","TestTokenForgery","test_authorization","",""
"","15","test_hostile_search_terms_are_handled_as_text[xss-img-onerror]","tests.security.tests","Sat Aug 29 06:45:41 UTC 2026","passed","Sat Aug 29 06:45:41 UTC 2026","TestSearchInput","test_injection","",""
"","0","test_rejects_non_integers[2]","backend.tests.unit","Sat Aug 29 06:44:28 UTC 2026","passed","Sat Aug 29 06:44:28 UTC 2026","TestValidateQuantity","test_inventory_rules","",""
"","510","test_price_sorting_reorders_the_grid[price-ascending]","tests.ui.tests","Sat Aug 29 06:46:17 UTC 2026","passed","Sat Aug 29 06:46:17 UTC 2026","TestSorting","test_catalog_ui","",""
"","605","test_moving_between_pages_changes_the_products","tests.ui.tests","Sat Aug 29 06:46:19 UTC 2026","passed","Sat Aug 29 06:46:20 UTC 2026","TestPagination","test_catalog_ui","",""
"Absent must never mean valid-by-default.","2","test_tokens_with_missing_or_wrong_claims_are_rejected[no-exp-]","tests.security.tests","Sat Aug 29 06:45:39 UTC 2026","passed","Sat Aug 29 06:45:39 UTC 2026","TestTokenForgery","test_authorization","",""
"","3","test_malformed_tokens_are_rejected[sql-injection-attempt]","tests.api.tests","Sat Aug 29 06:45:21 UTC 2026","passed","Sat Aug 29 06:45:21 UTC 2026","TestTokens","test_auth","",""
"","7","test_hostile_address_fields_are_handled_safely[template-injection]","tests.security.tests","Sat Aug 29 06:45:43 UTC 2026","passed","Sat Aug 29 06:45:43 UTC 2026","TestBodyInput","test_injection","",""
"","2","test_protected_endpoints_reject_anonymous_callers[POST-cart-items]","tests.security.tests","Sat Aug 29 06:45:38 UTC 2026","passed","Sat Aug 29 06:45:38 UTC 2026","TestAnonymousAccess","test_authorization","",""
"","18","test_a_deactivated_account_cannot_log_in","tests.security.tests","Sat Aug 29 06:45:40 UTC 2026","passed","Sat Aug 29 06:45:40 UTC 2026","TestAccountState","test_authorization","",""
"Business rule 4, asserted directly.

        A crafted body carrying its own totals must be ignored entirely - the
        charge is whatever the catalogue says, not what the client claims.
        ","34","test_no_monetary_field_in_the_request_body_is_honoured","tests.api.tests","Sat Aug 29 06:45:31 UTC 2026","passed","Sat Aug 29 06:45:31 UTC 2026","TestCheckoutValidation","test_orders","",""
"","8","test_registration_with_a_hostile_name_never_500s[sql-time-based]","tests.security.tests","Sat Aug 29 06:45:42 UTC 2026","passed","Sat Aug 29 06:45:42 UTC 2026","TestAuthInput","test_injection","",""
"","2","test_admin_endpoints_reject_anonymous_callers[GET-admin-orders]","tests.security.tests","Sat Aug 29 06:45:38 UTC 2026","passed","Sat Aug 29 06:45:38 UTC 2026","TestAnonymousAccess","test_authorization","",""
"","33","test_a_card_number_failing_its_checksum_is_refused","tests.api.tests","Sat Aug 29 06:45:29 UTC 2026","passed","Sat Aug 29 06:45:29 UTC 2026","TestPaymentFailures","test_orders","",""
"Scoping matters as much as uniqueness.

        A globally unique key would let one customer's key collide with
        another's, and the replay path would then hand them somebody else's
        order. Scoping to ``user_id`` makes that impossible.
        ","0","test_idempotency_key_is_unique_per_user_not_globally","tests.database.tests","Sat Aug 29 06:45:34 UTC 2026","passed","Sat Aug 29 06:45:34 UTC 2026","TestUniqueConstraints","test_schema","",""
"","5","test_a_hostile_password_never_authenticates[sql-time-based]","tests.security.tests","Sat Aug 29 06:45:42 UTC 2026","passed","Sat Aug 29 06:45:42 UTC 2026","TestAuthInput","test_injection","",""
"","44","test_the_cart_is_emptied_after_a_successful_order","tests.api.tests","Sat Aug 29 06:45:27 UTC 2026","passed","Sat Aug 29 06:45:27 UTC 2026","TestCheckoutSuccess","test_orders","",""
"","38","test_a_promotion_is_applied_and_recorded","tests.api.tests","Sat Aug 29 06:45:27 UTC 2026","passed","Sat Aug 29 06:45:27 UTC 2026","TestCheckoutSuccess","test_orders","",""
"The boundary is a promise made on the product page, so it must be exact.

    An off-by-one-cent boundary charges shipping to customers who were told it
    was free - a support ticket every time, and a chargeback risk.
    ","23","test_free_shipping_applies_from_the_threshold_upwards[one-cent-below-threshold]","tests.api.tests","Sat Aug 29 06:45:22 UTC 2026","passed","Sat Aug 29 06:45:22 UTC 2026","","test_cart","",""
"A stack trace in a response body is a map of the application.

        It names files, line numbers, library versions and sometimes SQL - all
        of which make the next attack cheaper.
        ","3","test_errors_never_leak_internals[validation]","tests.security.tests","Sat Aug 29 06:45:41 UTC 2026","passed","Sat Aug 29 06:45:41 UTC 2026","TestErrorDisclosure","test_exposure","",""
"","6","test_a_hostile_product_id_is_rejected_not_executed[sql-union]","tests.security.tests","Sat Aug 29 06:45:43 UTC 2026","passed","Sat Aug 29 06:45:43 UTC 2026","TestBodyInput","test_injection","",""
"","0","test_percentage_discount_respects_its_cap","backend.tests.unit","Sat Aug 29 06:44:29 UTC 2026","passed","Sat Aug 29 06:44:29 UTC 2026","TestDiscount","test_pricing","",""
"The same requests, three identities, three different outcomes.","58","test_a_customer_is_refused_everywhere_an_admin_is_allowed","tests.integration.tests","Sat Aug 29 06:45:47 UTC 2026","passed","Sat Aug 29 06:45:47 UTC 2026","","test_journeys","",""
"","2","test_a_hostile_product_id_is_rejected_not_executed[null-byte]","tests.security.tests","Sat Aug 29 06:45:43 UTC 2026","passed","Sat Aug 29 06:45:43 UTC 2026","TestBodyInput","test_injection","",""
"","0","test_free_at_or_above_the_threshold[5000.00-0.00]","backend.tests.unit","Sat Aug 29 06:44:29 UTC 2026","passed","Sat Aug 29 06:44:29 UTC 2026","TestShipping","test_pricing","",""
"","0","test_rounds_half_up_to_two_places[999999.999-1000000.00]","backend.tests.unit","Sat Aug 29 06:44:28 UTC 2026","passed","Sat Aug 29 06:44:28 UTC 2026","TestQuantizeMoney","test_pricing","",""
"","4","test_a_hostile_product_id_is_rejected_not_executed[sql-drop-table]","tests.security.tests","Sat Aug 29 06:45:43 UTC 2026","passed","Sat Aug 29 06:45:43 UTC 2026","TestBodyInput","test_injection","",""
"","31","test_cart_totals_are_numbers[tax]","tests.contract.tests","Sat Aug 29 06:45:36 UTC 2026","passed","Sat Aug 29 06:45:36 UTC 2026","TestMoneyContract","test_openapi_contract","",""
"","0","test_permitted_transitions[confirmed-cancelled]","backend.tests.unit","Sat Aug 29 06:44:28 UTC 2026","passed","Sat Aug 29 06:44:28 UTC 2026","TestOrderStatusTransitions","test_order_rules","",""
"Preview and charge come from the same calculation, so they cannot drift.","46","test_the_amount_charged_matches_the_amount_quoted","tests.api.tests","Sat Aug 29 06:45:26 UTC 2026","passed","Sat Aug 29 06:45:27 UTC 2026","TestCheckoutSuccess","test_orders","",""
"","7","test_rating_descending_is_actually_descending","tests.api.tests","Sat Aug 29 06:45:25 UTC 2026","passed","Sat Aug 29 06:45:25 UTC 2026","TestSorting","test_catalog","",""
"","8","test_pagination_boundaries[max-page-size]","tests.api.tests","Sat Aug 29 06:45:25 UTC 2026","passed","Sat Aug 29 06:45:25 UTC 2026","TestPagination","test_catalog","",""
"","2","test_a_hostile_path_segment_never_500s[unicode-rtl-override]","tests.security.tests","Sat Aug 29 06:45:44 UTC 2026","passed","Sat Aug 29 06:45:44 UTC 2026","TestBodyInput","test_injection","",""
"","2","test_a_hostile_path_segment_never_500s[sql-union]","tests.security.tests","Sat Aug 29 06:45:43 UTC 2026","passed","Sat Aug 29 06:45:43 UTC 2026","TestBodyInput","test_injection","",""
"","46","test_an_expired_card_is_declined","tests.api.tests","Sat Aug 29 06:45:29 UTC 2026","passed","Sat Aug 29 06:45:29 UTC 2026","TestPaymentFailures","test_orders","",""
"","0","test_malformed_tokens_are_rejected[header.payload]","backend.tests.unit","Sat Aug 29 06:44:29 UTC 2026","passed","Sat Aug 29 06:44:29 UTC 2026","TestAccessTokens","test_security_helpers","",""
"Anything that is not a positive whole number must be refused at the edge.

    A quantity that slips through is not cosmetic: zero and negative values
    reach the pricing code and can produce negative line totals, and a JSON
    boolean silently becomes one unit the customer never asked for and will be
    charged for.
    ","14","test_invalid_quantities_are_rejected[boolean]","tests.api.tests","Sat Aug 29 06:45:23 UTC 2026","passed","Sat Aug 29 06:45:23 UTC 2026","","test_cart","",""
"","5","test_every_api_response_carries_the_header[x-frame-options-DENY]","tests.security.tests","Sat Aug 29 06:45:40 UTC 2026","passed","Sat Aug 29 06:45:40 UTC 2026","TestSecurityHeaders","test_exposure","",""
"A stack trace in a response body is a map of the application.

        It names files, line numbers, library versions and sometimes SQL - all
        of which make the next attack cheaper.
        ","4","test_errors_never_leak_internals[forbidden]","tests.security.tests","Sat Aug 29 06:45:41 UTC 2026","passed","Sat Aug 29 06:45:41 UTC 2026","TestErrorDisclosure","test_exposure","",""
"","0","test_sensitive_keys_are_redacted[authorization]","backend.tests.unit","Sat Aug 29 06:44:28 UTC 2026","passed","Sat Aug 29 06:44:28 UTC 2026","TestLogRedaction","test_order_rules","",""
"","2","test_malformed_authorization_headers_are_rejected[double-bearer-]","tests.api.tests","Sat Aug 29 06:45:21 UTC 2026","passed","Sat Aug 29 06:45:22 UTC 2026","TestTokens","test_auth","",""
"A status with no entry would raise a KeyError at runtime.","0","test_every_status_has_a_transition_rule","backend.tests.unit","Sat Aug 29 06:44:28 UTC 2026","passed","Sat Aug 29 06:44:28 UTC 2026","TestOrderStatusTransitions","test_order_rules","",""
"","5","test_no_results_returns_an_empty_page_not_an_error","tests.api.tests","Sat Aug 29 06:45:24 UTC 2026","passed","Sat Aug 29 06:45:24 UTC 2026","TestSearch","test_catalog","",""
"","1616","test_a_customer_can_cancel_an_order_from_its_detail_page","tests.ui.tests","Sat Aug 29 06:46:34 UTC 2026","passed","Sat Aug 29 06:46:36 UTC 2026","","test_e2e_journeys","",""
"","13","test_the_profile_can_be_updated","tests.api.tests","Sat Aug 29 06:45:22 UTC 2026","passed","Sat Aug 29 06:45:22 UTC 2026","TestProfile","test_auth","",""
"","31","test_cart_line_money_is_a_number[unit_price]","tests.contract.tests","Sat Aug 29 06:45:36 UTC 2026","passed","Sat Aug 29 06:45:36 UTC 2026","TestMoneyContract","test_openapi_contract","",""
"A withdrawn product must be refused with the code the contract promises.

    PRODUCT_UNAVAILABLE(409) tells the storefront ""this existed but you can no
    longer buy it"", which is a different message and a different recovery path
    from ""this id is not a product"". Collapsing the two into 404 makes a
    withdrawn item indistinguishable from a broken link, and leaves customers
    who bookmarked it with no explanation.
    ","25","test_adding_a_deactivated_product_is_rejected_as_unavailable","tests.api.tests","Sat Aug 29 06:45:24 UTC 2026","passed","Sat Aug 29 06:45:24 UTC 2026","","test_cart","",""
"A client that posts its own price must not be able to set what it pays.

    This is the cheapest possible attack on an e-commerce API: add the field the
    server would have computed and hope it is trusted. The line must come back
    priced from the catalogue.
    ","23","test_prices_in_the_request_body_are_ignored","tests.api.tests","Sat Aug 29 06:45:22 UTC 2026","passed","Sat Aug 29 06:45:22 UTC 2026","","test_cart","",""
"","0","test_rejects_requests_above_stock[100-99]","backend.tests.unit","Sat Aug 29 06:44:28 UTC 2026","passed","Sat Aug 29 06:44:28 UTC 2026","TestValidateAvailability","test_inventory_rules","",""
"","3","test_admin_endpoints_reject_anonymous_callers[GET-admin-users]","tests.security.tests","Sat Aug 29 06:45:38 UTC 2026","passed","Sat Aug 29 06:45:38 UTC 2026","TestAnonymousAccess","test_authorization","",""
"","0","test_permitted_transitions[pending-cancelled]","backend.tests.unit","Sat Aug 29 06:44:28 UTC 2026","passed","Sat Aug 29 06:44:28 UTC 2026","TestOrderStatusTransitions","test_order_rules","",""
"","3","test_the_current_user_matches_its_schema","tests.contract.tests","Sat Aug 29 06:45:35 UTC 2026","passed","Sat Aug 29 06:45:35 UTC 2026","TestResponseConformance","test_openapi_contract","",""
"","2","test_every_required_field_is_required[email]","tests.api.tests","Sat Aug 29 06:45:21 UTC 2026","passed","Sat Aug 29 06:45:21 UTC 2026","TestRegistration","test_auth","",""
"`' OR '1'='1` must not be a valid login.

        In a string-concatenated query it would be. Here it is either rejected
        as a malformed address or looked up as a literal value that matches
        nothing.
        ","2","test_login_with_a_hostile_email_never_authenticates[xss-svg]","tests.security.tests","Sat Aug 29 06:45:42 UTC 2026","passed","Sat Aug 29 06:45:42 UTC 2026","TestAuthInput","test_injection","",""
"","32","test_a_quote_matches_its_schema","tests.contract.tests","Sat Aug 29 06:45:35 UTC 2026","passed","Sat Aug 29 06:45:35 UTC 2026","TestResponseConformance","test_openapi_contract","",""
"","5","test_a_hostile_product_id_is_rejected_not_executed[path-traversal]","tests.security.tests","Sat Aug 29 06:45:43 UTC 2026","passed","Sat Aug 29 06:45:43 UTC 2026","TestBodyInput","test_injection","",""
"StrEnum members must render as 'paid', not 'PaymentStatus.PAID'.","1","test_statuses_serialise_as_their_values","backend.tests.unit","Sat Aug 29 06:44:28 UTC 2026","passed","Sat Aug 29 06:44:28 UTC 2026","TestPaymentStatus","test_order_rules","",""
"The boundary is a promise made on the product page, so it must be exact.

    An off-by-one-cent boundary charges shipping to customers who were told it
    was free - a support ticket every time, and a chargeback risk.
    ","24","test_free_shipping_applies_from_the_threshold_upwards[exactly-at-threshold]","tests.api.tests","Sat Aug 29 06:45:22 UTC 2026","passed","Sat Aug 29 06:45:22 UTC 2026","","test_cart","",""
"","57","test_order_money_is_a_number[subtotal]","tests.contract.tests","Sat Aug 29 06:45:37 UTC 2026","passed","Sat Aug 29 06:45:37 UTC 2026","TestMoneyContract","test_openapi_contract","",""
"","0","test_minimum_subtotal_is_enforced","backend.tests.unit","Sat Aug 29 06:44:29 UTC 2026","passed","Sat Aug 29 06:44:29 UTC 2026","TestPromotionValidity","test_pricing","",""
"The policy is stated in the error, so a UI can act on it.

        ""Invalid password"" alone turns signup into a guessing game.
        ","3","test_weak_passwords_are_rejected_with_the_reason[empty]","tests.api.tests","Sat Aug 29 06:45:21 UTC 2026","passed","Sat Aug 29 06:45:21 UTC 2026","TestRegistration","test_auth","",""
"A cart belongs to an account; there is no anonymous cart to reach.

    An endpoint that fell back to a shared or implicit cart would let one
    visitor read or empty another's basket.
    ","2","test_cart_endpoints_reject_anonymous_callers[clear-cart]","tests.api.tests","Sat Aug 29 06:45:24 UTC 2026","passed","Sat Aug 29 06:45:24 UTC 2026","","test_cart","",""
"Admin endpoints get the same treatment - a compromised admin session
        must not become a database console.","12","test_hostile_admin_search_input_is_handled_safely[xss-svg]","tests.security.tests","Sat Aug 29 06:45:44 UTC 2026","passed","Sat Aug 29 06:45:44 UTC 2026","TestBodyInput","test_injection","",""
"Delete rules decide what happens to data nobody is looking at.

        Getting one wrong stays invisible until the day a product is deleted
        and years of order history vanish with it - by which point the backup
        window has usually closed.
        ","20","test_foreign_key_and_delete_rule[cart_items.cart_id-to-carts-CASCADE]","tests.database.tests","Sat Aug 29 06:45:34 UTC 2026","passed","Sat Aug 29 06:45:34 UTC 2026","TestForeignKeys","test_schema","",""
"","2","test_an_extremely_long_search_term_is_bounded","tests.security.tests","Sat Aug 29 06:45:42 UTC 2026","passed","Sat Aug 29 06:45:42 UTC 2026","TestSearchInput","test_injection","",""
"Business rule 9, under the conditions that actually break it.

    A sequential replay is easy: the second request finds the first order and
    returns it. The hard case is five requests in flight together, none of which
    can see the others' uncommitted work. The unique constraint on
    ``(user_id, idempotency_key)`` is what lets exactly one commit, rolling the
    losers back wholesale - including their stock decrements.
    ","149","test_five_simultaneous_submissions_with_one_key_create_one_order","tests.integration.tests","Sat Aug 29 06:45:46 UTC 2026","passed","Sat Aug 29 06:45:46 UTC 2026","","test_concurrency","",""
"Business rule 5, from the customer's seat.

    The screen must say what went wrong, the customer must stay where they can
    retry, and nothing anywhere may be marked paid.
    ","1619","test_a_declined_card_shows_an_error_and_creates_no_paid_order","tests.ui.tests","Sat Aug 29 06:46:32 UTC 2026","passed","Sat Aug 29 06:46:33 UTC 2026","","test_e2e_journeys","",""
"","58","test_every_provider_outcome_maps_to_the_right_status[approved-mastercard]","tests.api.tests","Sat Aug 29 06:45:27 UTC 2026","passed","Sat Aug 29 06:45:28 UTC 2026","TestPaymentFailures","test_orders","",""
"","1","test_rejects_malformed_headers[Basic abc]","backend.tests.unit","Sat Aug 29 06:44:29 UTC 2026","passed","Sat Aug 29 06:44:29 UTC 2026","TestBearerExtraction","test_security_helpers","",""
"The policy is stated in the error, so a UI can act on it.

        ""Invalid password"" alone turns signup into a guessing game.
        ","3","test_weak_passwords_are_rejected_with_the_reason[no-digit]","tests.api.tests","Sat Aug 29 06:45:21 UTC 2026","passed","Sat Aug 29 06:45:21 UTC 2026","TestRegistration","test_auth","",""
"","0","test_every_documented_endpoint_is_present[/api/v1/categories-get]","tests.contract.tests","Sat Aug 29 06:45:35 UTC 2026","passed","Sat Aug 29 06:45:35 UTC 2026","TestSpecification","test_openapi_contract","",""
"Each of these prevents a duplication the application cannot prevent
        alone under concurrency: two signups for one email, two carts for one
        user, two lines for one product in a cart, or - most expensively - two
        orders charged for one Idempotency-Key when a customer double-clicks
        Pay.
        ","1","test_unique_constraint_exists[carts-UNIQUE (user_id)]","tests.database.tests","Sat Aug 29 06:45:34 UTC 2026","passed","Sat Aug 29 06:45:34 UTC 2026","TestUniqueConstraints","test_schema","",""
"","4","test_a_malformed_payment_body_is_rejected_before_any_charge[bad-month-]","tests.api.tests","Sat Aug 29 06:45:29 UTC 2026","passed","Sat Aug 29 06:45:29 UTC 2026","TestPaymentFailures","test_orders","",""
"","5","test_a_hostile_product_id_is_rejected_not_executed[sql-or-true]","tests.security.tests","Sat Aug 29 06:45:43 UTC 2026","passed","Sat Aug 29 06:45:43 UTC 2026","TestBodyInput","test_injection","",""
"","7","test_product_money_is_a_number[price]","tests.contract.tests","Sat Aug 29 06:45:35 UTC 2026","passed","Sat Aug 29 06:45:35 UTC 2026","TestMoneyContract","test_openapi_contract","",""
"","803","test_filtering_by_price_range","tests.ui.tests","Sat Aug 29 06:46:12 UTC 2026","passed","Sat Aug 29 06:46:13 UTC 2026","TestFiltering","test_catalog_ui","",""
"","2","test_malformed_authorization_headers_are_rejected[token-scheme-]","tests.api.tests","Sat Aug 29 06:45:21 UTC 2026","passed","Sat Aug 29 06:45:21 UTC 2026","TestTokens","test_auth","",""
"","0","test_forbidden_transitions[pending-delivered]","backend.tests.unit","Sat Aug 29 06:44:28 UTC 2026","passed","Sat Aug 29 06:44:28 UTC 2026","TestOrderStatusTransitions","test_order_rules","",""
"","15","test_hostile_search_terms_are_handled_as_text[path-traversal]","tests.security.tests","Sat Aug 29 06:45:41 UTC 2026","passed","Sat Aug 29 06:45:41 UTC 2026","TestSearchInput","test_injection","",""
"","752","test_clearing_filters_restores_the_full_catalogue","tests.ui.tests","Sat Aug 29 06:46:15 UTC 2026","passed","Sat Aug 29 06:46:16 UTC 2026","TestFiltering","test_catalog_ui","",""
"Each of these prevents a duplication the application cannot prevent
        alone under concurrency: two signups for one email, two carts for one
        user, two lines for one product in a cart, or - most expensively - two
        orders charged for one Idempotency-Key when a customer double-clicks
        Pay.
        ","1","test_unique_constraint_exists[categories-UNIQUE (slug)]","tests.database.tests","Sat Aug 29 06:45:34 UTC 2026","passed","Sat Aug 29 06:45:34 UTC 2026","TestUniqueConstraints","test_schema","",""
"Stock is read through a join. A product with no inventory row reads
        as permanently unavailable - listed in the catalogue, impossible to
        buy. That is lost revenue nobody gets an alert about.
        ","1","test_every_product_has_an_inventory_row","tests.database.tests","Sat Aug 29 06:45:34 UTC 2026","passed","Sat Aug 29 06:45:34 UTC 2026","TestDataIntegrityInvariants","test_schema","",""
"","0","test_every_documented_endpoint_is_present[/api/v1/auth/register-post]","tests.contract.tests","Sat Aug 29 06:45:35 UTC 2026","passed","Sat Aug 29 06:45:35 UTC 2026","TestSpecification","test_openapi_contract","",""
"","0","test_rejects_invalid_addresses[a@@b.com]","backend.tests.unit","Sat Aug 29 06:44:29 UTC 2026","passed","Sat Aug 29 06:44:29 UTC 2026","TestEmail","test_security_helpers","",""
"Business rule 3.

        The whole admin surface, not a sample: a route added without the
        dependency would be caught here rather than in production.
        ","5","test_customers_are_refused_on_every_admin_endpoint[POST-admin-products]","tests.security.tests","Sat Aug 29 06:45:39 UTC 2026","passed","Sat Aug 29 06:45:39 UTC 2026","TestRoleEnforcement","test_authorization","",""
"","69","test_a_customer_can_retry_with_a_good_card","tests.api.tests","Sat Aug 29 06:45:29 UTC 2026","passed","Sat Aug 29 06:45:29 UTC 2026","TestPaymentFailures","test_orders","",""
"","0","test_valid_luhn_numbers_pass[4111111111111111]","backend.tests.unit","Sat Aug 29 06:44:28 UTC 2026","passed","Sat Aug 29 06:44:28 UTC 2026","TestCardHelpers","test_order_rules","",""
"","747","test_filtering_by_minimum_rating","tests.ui.tests","Sat Aug 29 06:46:13 UTC 2026","passed","Sat Aug 29 06:46:14 UTC 2026","TestFiltering","test_catalog_ui","",""
"Each transition must be permitted only from the right previous state.","157","test_an_order_moves_through_its_lifecycle","tests.integration.tests","Sat Aug 29 06:45:56 UTC 2026","passed","Sat Aug 29 06:45:56 UTC 2026","","test_journeys","",""
"","1","test_discount_is_never_negative","backend.tests.unit","Sat Aug 29 06:44:29 UTC 2026","passed","Sat Aug 29 06:44:29 UTC 2026","TestDiscount","test_pricing","",""
"","589","test_filtering_to_in_stock_only","tests.ui.tests","Sat Aug 29 06:46:14 UTC 2026","passed","Sat Aug 29 06:46:14 UTC 2026","TestFiltering","test_catalog_ui","",""
"","40","test_a_provider_error_becomes_a_502_and_returns_the_stock","tests.api.tests","Sat Aug 29 06:45:29 UTC 2026","passed","Sat Aug 29 06:45:29 UTC 2026","TestPaymentFailures","test_orders","",""
